username,password_hash,password_plain_DEMO_ONLY,user_idx,user_id,n_interactions,activity_level
medium_11,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,103803,080408c229a522b5f0ead91d1fd1b8a9ec07111d,26,medium
medium_12,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,735829,5b2c7f55431592f26942d6a8d5df3f15b42900e8,19,medium
medium_13,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,233964,11a1f2df71e90b2168df3c96d21cc66a1942be52,17,medium
medium_14,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,172646,b272959660ac494596206c50726b742d644d6fae,19,medium
medium_15,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,72650,d744581ed041d76141400f7d5530258e3d8982a3,24,medium
medium_16,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,245662,84a693cd90e212bc3dfaf27a75f74b4980e0e1c8,39,medium
medium_17,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,263991,35e99fe755a0f52fd1c544c4feb0815384264cfd,23,medium
medium_18,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,411373,d85fcf82ca87fcaa7c2dd406918e39115f586386,26,medium
medium_19,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,516289,dc48de1b0ef1d934274616f5a2d01745d184de8b,23,medium
medium_20,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,60760,60f50b90cacd7c294616fbd2f2452cac7f4fe1e3,17,medium
heavy_01,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,821578,a6a14a66b7204dd15da3e712d10c808782dd4fa9,63,heavy
heavy_02,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,949299,8d96144cae72266d908c728b4dff2c622b0a87b4,64,heavy
heavy_03,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,120401,ad8287958c679408ce7be62485c8c65d2d202b55,83,heavy
heavy_04,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,743121,a29c501e3469c786f87e167a8bf83b01b58e175e,52,heavy
heavy_05,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,110610,4c28c3c69adbf9949e3510668fb63b727942af75,60,heavy
heavy_06,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,234151,1390384f83355d23caebd42b53d7a24f1d275588,96,heavy
heavy_07,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,343575,40aeaa2e0c20204e58d5d3038d8558fc4ce987c9,49,heavy
heavy_08,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,489569,d49bcc3eaab5912210fab88c0d302a387949f3f7,46,heavy
heavy_09,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,183255,19f11f7069bf2c44484fa75b66764c5c85830fd3,43,heavy
heavy_10,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,26860,0cf2b74e1a8134d1fa26335e625f468cfa9f7464,62,heavy
heavy_11,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,340058,1e01da7f07043683bd044b4dd941206ffae2817d,56,heavy
heavy_12,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,1181,0c959f34f3ec79f7bfbb0bcece384512db46116f,54,heavy
heavy_13,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,20056,c987f22efb095d24f6eccc6188d5ffb1a090cba5,56,heavy
heavy_14,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,525965,3c5a6facc85f72f71fc341d71b77cb42340342ca,130,heavy
heavy_15,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,422979,48f14d1953d3607ea429c07ea0e4339f48ab8313,53,heavy
heavy_16,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,248791,a3590e54aa134ed06477ee0007d6b76acbd01b10,54,heavy
heavy_17,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,596713,fe9c060def6beebfd8d16b3830f720f9dc429f51,118,heavy
heavy_18,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,869734,7f06dd93f1ac491780c59e8447fc8e54e50167da,49,heavy
heavy_19,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,174083,c07bd2dbfe9d9b823f5307f479dda4774ee2f43f,54,heavy
heavy_20,d3ad9315b7be5dd53b31a273b3b3aba5defe700808305aa16a3062b76658a791,demo123,170248,9b5bac7478d8b805832522e991b0f6c1d869cbe1,85,heavy
